Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,-1.1620662189376876,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Sedan,0.48309700325265686,Tự động,Đã sử dụng,Xăng,-0.5850917246113246
2025-10-14,1.1468740377165834,Thái Lan,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,-0.7616423403770315,Tự động,Đã sử dụng,Xăng,-0.06631643425397707
2025-10-14,-0.7772428428286424,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.6065287200806365
2025-10-14,0.7620506616075382,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,-0.050380497436404256,Tự động,Đã sử dụng,Xăng,-0.10919042519260083
2025-10-14,-0.2000077786650747,Việt Nam,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Sedan,0.03854723767062534,Tự động,Đã sử dụng,Xăng,-0.46290085043624685
2025-10-14,-0.5848311547741198,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",SUV / Cross over,1.1943766281839074,Tự động,Đã sử dụng,Dầu,-0.22709390027381618
2025-10-14,0.7620506616075382,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.10967520016375039,Tự động,Đã sử dụng,Xăng,-0.35571587308968744
2025-10-14,0.9544623496620608,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,-0.40596696393015963,Tự động,Đã sử dụng,Xăng,-0.24853089574312806
2025-10-14,-0.7772428428286424,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",SUV / Cross over,0.48309700325265686,Tự động,Đã sử dụng,Xăng,-0.2914048866817518
2025-10-14,1.1468740377165834,Thái Lan,"46 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",SUV / Cross over,-1.1172821528426566,Tự động,Mới,Xăng,-0.08989712927022014
